"","symbol","NMF.rank","MMF.localization","SAFE.domain","SAFE.localization","Entrez","BioGRID","HGNC","RefSeq","UniProt","Approved","Suggested.Symbol"
"3636","STAU1",16,"cytoplasmic ribonucleoprotein granule","1","no prediction",6780,112657,"HGNC:11370","NM_017453","O95793",TRUE,"STAU1"
"3637","STAU2",16,"cytoplasmic ribonucleoprotein granule","1","no prediction",27067,117978,"HGNC:11371","NM_001164380","Q9NUL3",TRUE,"STAU2"
"3638","STBD1",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",8987,114469,"HGNC:24854","NM_003943","O95210",TRUE,"STBD1"
"3639","STEAP1",14,"Golgi apparatus","9","Golgi apparatus",26872,117921,"HGNC:11378","NM_012449","Q9UHE8",TRUE,"STEAP1"
"3640","STEAP2",11,"plasma membrane","-","-",261729,129285,"HGNC:17885","NM_152999","Q8NFT2",TRUE,"STEAP2"
"3641","STEAP3",11,"plasma membrane","20","cell junction, plasma membrane",55240,120533,"HGNC:24592","NM_018234","Q658P3",TRUE,"STEAP3"
"3642","STIL",12,"centrosome","14","centrosome enriched, P-body enriched",6491,112382,"HGNC:10879","NM_003035","Q15468",TRUE,"STIL"
"3643","STIM1",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",6786,112662,"HGNC:11386","NM_003156","Q13586",TRUE,"STIM1"
"3644","STIM2",15,"nuclear outer membrane-ER membrane network","-","-",57620,121666,"HGNC:19205","NM_020860","Q9P246",TRUE,"STIM2"
"3645","STIP1",19,"miscellaneous","1","no prediction",10963,116162,"HGNC:11387","NM_006819","P31948",TRUE,"STIP1"
"3646","STK10",11,"plasma membrane","20","cell junction, plasma membrane",6793,112669,"HGNC:11388","NM_005990","O94804",TRUE,"STK10"
"3647","STK11IP",7,"endosome, lysosome","18","endosome, lysosome",114790,125352,"HGNC:19184","NM_052902","Q8N1F8",TRUE,"STK11IP"
"3648","STK24",5,"actin cytoskeleton, cytosol","16","STRIPAK complex",8428,114011,"HGNC:11403","NM_003576","Q9Y6E0",TRUE,"STK24"
"3649","STK25",13,"mitochondrial outer membrane, peroxisome","-","-",10494,115757,"HGNC:11404","NM_006374","O00506",TRUE,"STK25"
"3650","STK3",5,"actin cytoskeleton, cytosol","-","-",6788,112664,"HGNC:11406","NM_006281","Q13188",TRUE,"STK3"
"3651","STK38",5,"actin cytoskeleton, cytosol","-","-",11329,116457,"HGNC:17847","NM_007271","Q15208",TRUE,"STK38"
"3652","STMN1",5,"actin cytoskeleton, cytosol","-","-",3925,110119,"HGNC:6510","NM_005563","P16949",TRUE,"STMN1"
"3653","STOM",14,"Golgi apparatus","9","Golgi apparatus",2040,108354,"HGNC:3383","NM_004099","P27105",TRUE,"STOM"
"3654","STOML2",4,"mitochondrial matrix","21","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",30968,119062,"HGNC:14559","NM_013442","Q9UJZ1",TRUE,"STOML2"
"3655","STON1-GTF2A1L",11,"plasma membrane","20","cell junction, plasma membrane",286749,130414,"HGNC:30651","NM_001198593","",TRUE,"STON1-GTF2A1L"
"3656","STON2",1,"cell junction","6","clathrin coat",85439,124526,"HGNC:30652","NM_033104","Q8WXE9",TRUE,"STON2"
"3657","STRAP",16,"cytoplasmic ribonucleoprotein granule","13","cytoplasmic ribonucleoprotein granule",11171,116342,"HGNC:30796","NM_007178","Q9Y3F4",TRUE,"STRAP"
"3658","STRBP",10,"nuclear body","8","paraspeckles",55342,120623,"HGNC:16462","NM_001171137","Q96SI9",TRUE,"STRBP"
"3659","STRIP1",9,"nucleoplasm","16","STRIPAK complex",85369,124497,"HGNC:25916","NM_033088","Q5VSL9",TRUE,"STRIP1"
"3660","STRIP2",9,"nucleoplasm","16","STRIPAK complex",57464,121534,"HGNC:22209","NM_001134336","Q9ULQ0",TRUE,"STRIP2"
"3661","STRN",5,"actin cytoskeleton, cytosol","16","STRIPAK complex",6801,112674,"HGNC:11424","NM_003162","O43815",TRUE,"STRN"
"3662","STRN3",9,"nucleoplasm","16","STRIPAK complex",29966,118999,"HGNC:15720","NM_014574","Q13033",TRUE,"STRN3"
"3663","STRN4",5,"actin cytoskeleton, cytosol","16","STRIPAK complex",29888,118941,"HGNC:15721","NM_001039877","Q9NRL3",TRUE,"STRN4"
"3664","STT3A",3,"ER membrane","19","nuclear outer membrane-ER membrane network",3703,109908,"HGNC:6172","NM_152713","P46977",TRUE,"STT3A"
"3665","STT3B",3,"ER membrane","19","nuclear outer membrane-ER membrane network",201595,128394,"HGNC:30611","NM_178862","Q8TCJ2",TRUE,"STT3B"
"3666","STUB1",19,"miscellaneous","-","-",10273,115563,"HGNC:11427","NM_005861","Q9UNE7",TRUE,"STUB1"
"3667","STX10",14,"Golgi apparatus","18","endosome, lysosome",8677,114225,"HGNC:11428","NM_003765","O60499",TRUE,"STX10"
"3668","STX12",7,"endosome, lysosome","18","endosome, lysosome",23673,117191,"HGNC:11430","NM_177424","Q86Y82",TRUE,"STX12"
"3669","STX17",13,"mitochondrial outer membrane, peroxisome","2","mitochondrial outer membrane, peroxisome",55014,120346,"HGNC:11432","NM_017919","P56962",TRUE,"STX17"
"3670","STX18",15,"nuclear outer membrane-ER membrane network","19","nuclear outer membrane-ER membrane network",53407,119782,"HGNC:15942","NM_001346281","Q9P2W9",TRUE,"STX18"
"3671","STX3",11,"plasma membrane","18","endosome, lysosome",6809,112678,"HGNC:11438","NM_004177","Q13277",TRUE,"STX3"
