"","category","marker","Approved","Suggested.Symbol"
"263","cat4","H4C1",TRUE,"H4C1"
"264","cat4","H4C2",TRUE,"H4C2"
"265","cat4","H4C3",TRUE,"H4C3"
"266","cat4","H4C4",TRUE,"H4C4"
"267","cat4","H4C5",TRUE,"H4C5"
"268","cat4","H4C6",TRUE,"H4C6"
"269","cat4","H4C7",TRUE,"H4C7"
"270","cat4","H4C8",TRUE,"H4C8"
"271","cat4","H4C9",TRUE,"H4C9"
"272","cat4","H4C10P",TRUE,"H4C10P"
"273","cat4","H4C11",TRUE,"H4C11"
"274","cat4","H4C12",TRUE,"H4C12"
"275","cat4","H4C13",TRUE,"H4C13"
"276","cat4","H4C14",TRUE,"H4C14"
"277","cat4","H4C15",TRUE,"H4C15"
"278","cat4","H4-16",FALSE,"H4C16"
"279","cat4","LMNA",TRUE,"LMNA"
"280","cat4","IMMT",TRUE,"IMMT"
"281","cat4","CYC1",TRUE,"CYC1"
"282","cat4","TOMM20",TRUE,"TOMM20"
"283","cat4","CANX",TRUE,"CANX"
"284","cat4","HSP90B1",TRUE,"HSP90B1"
"285","cat4","HSPA5",TRUE,"HSPA5"
"286","cat4","GOLGA2",TRUE,"GOLGA2"
"287","cat4","ATG9A",TRUE,"ATG9A"
"288","cat4","ACTN1/4",FALSE,"ACTN1/4"
"289","cat4","KRT18",TRUE,"KRT18"
"290","cat5","TGFB1",TRUE,"TGFB1"
"291","cat5","TGFB2",TRUE,"TGFB2"
"292","cat5","IFNG",TRUE,"IFNG"
"293","cat5","VEGFA",TRUE,"VEGFA"
"294","cat5","FGF1",TRUE,"FGF1"
"295","cat5","FGF2",TRUE,"FGF2"
"296","cat5","PDGFA",TRUE,"PDGFA"
"297","cat5","PDGFB",TRUE,"PDGFB"
"298","cat5","PDGFC",TRUE,"PDGFC"
"299","cat5","PDGFD",TRUE,"PDGFD"
"300","cat5","EGF",TRUE,"EGF"
"301","cat5","IL1",FALSE,"IL1A"
"302","cat5","IL2",TRUE,"IL2"
"303","cat5","IL3",TRUE,"IL3"
"304","cat5","IL4",TRUE,"IL4"
"305","cat5","IL5",TRUE,"IL5"
"306","cat5","IL6",TRUE,"IL6"
"307","cat5","IL7",TRUE,"IL7"
"308","cat5","IL8",FALSE,"CXCL8"
"309","cat5","IL9",TRUE,"IL9"
"310","cat5","IL10",TRUE,"IL10"
"311","cat5","IL11",TRUE,"IL11"
"312","cat5","IL12",FALSE,"IL12"
"313","cat5","IL13",TRUE,"IL13"
"314","cat5","IL14",FALSE,"IL14"
"315","cat5","IL15",TRUE,"IL15"
"316","cat5","IL16",TRUE,"IL16"
"317","cat5","IL17",FALSE,"IL17A"
"318","cat5","IL18",TRUE,"IL18"
"319","cat5","IL19",TRUE,"IL19"
"320","cat5","IL20",TRUE,"IL20"
"321","cat5","IL21",TRUE,"IL21"
"322","cat5","IL22",TRUE,"IL22"
"323","cat5","IL23",FALSE,"IL23"
"324","cat5","IL24",TRUE,"IL24"
"325","cat5","IL25",TRUE,"IL25"
"326","cat5","IL26",TRUE,"IL26"
"327","cat5","IL28",FALSE,"IL28"
"328","cat5","IL29",FALSE,"IFNL1"
"329","cat5","IL30",FALSE,"IL27"
"330","cat5","IL31",TRUE,"IL31"
"331","cat5","IL32",TRUE,"IL32"
"332","cat5","IL33",TRUE,"IL33"
"333","cat5","IL34",TRUE,"IL34"
"334","cat5","IL35",FALSE,"IL35"
"335","cat5","IL36",FALSE,"IL36"
"336","cat5","IL37",TRUE,"IL37"
"337","cat5","IL38",FALSE,"IL38"
"338","cat5","IL39",FALSE,"IL39"
"339","cat5","IL40",FALSE,"IL40"
"340","cat5","FN1",TRUE,"FN1"
"341","cat5","COL1A1",TRUE,"COL1A1"
"342","cat5","COL1A2",TRUE,"COL1A2"
"343","cat5","COL2A1",TRUE,"COL2A1"
"344","cat5","COL3A1",TRUE,"COL3A1"
"345","cat5","COL4A1",TRUE,"COL4A1"
"346","cat5","COL 4A2",FALSE,"COL 4A2"
"347","cat5","COL4A3",TRUE,"COL4A3"
"348","cat5","COL4A4",TRUE,"COL4A4"
"349","cat5","COL4A5",TRUE,"COL4A5"
"350","cat5","COL4A6",TRUE,"COL4A6"
"351","cat5","COL5A1",TRUE,"COL5A1"
"352","cat5","COL5A2",TRUE,"COL5A2"
"353","cat5","COL5A3",TRUE,"COL5A3"
"354","cat5","COL6A1",TRUE,"COL6A1"
"355","cat5","COL6A2",TRUE,"COL6A2"
"356","cat5","COL6A3",TRUE,"COL6A3"
"357","cat5","COL6A4P1",TRUE,"COL6A4P1"
"358","cat5","COL6A4P2",TRUE,"COL6A4P2"
"359","cat5","COL6A5",TRUE,"COL6A5"
"360","cat5","COL6A6",TRUE,"COL6A6"
"361","cat5","COL7A1",TRUE,"COL7A1"
"362","cat5","COL8A1",TRUE,"COL8A1"
"363","cat5","COL8A2",TRUE,"COL8A2"
"364","cat5","COL9A1",TRUE,"COL9A1"
"365","cat5","COL9A2",TRUE,"COL9A2"
"366","cat5","COL9A3",TRUE,"COL9A3"
"367","cat5","COL10A1",TRUE,"COL10A1"
"368","cat5","COL11A1",TRUE,"COL11A1"
"369","cat5","COL11A2",TRUE,"COL11A2"
"370","cat5","COL12A1",TRUE,"COL12A1"
"371","cat5","COL13A1",TRUE,"COL13A1"
"372","cat5","COL14A1",TRUE,"COL14A1"
"373","cat5","COL15A1",TRUE,"COL15A1"
"374","cat5","COL16A1",TRUE,"COL16A1"
"375","cat5","COL17A1",TRUE,"COL17A1"
"376","cat5","COL18A1",TRUE,"COL18A1"
"377","cat5","COL19A1",TRUE,"COL19A1"
"378","cat5","COL20A1",TRUE,"COL20A1"
"379","cat5","COL21A1",TRUE,"COL21A1"
"380","cat5","COL22A1",TRUE,"COL22A1"
"381","cat5","COL23A1",TRUE,"COL23A1"
"382","cat5","COL24A1",TRUE,"COL24A1"
"383","cat5","COL25A1",TRUE,"COL25A1"
"384","cat5","COL26A1",TRUE,"COL26A1"
"385","cat5","COL27A1",TRUE,"COL27A1"
"386","cat5","COL28A1",TRUE,"COL28A1"
"387","cat5","MFGE8",TRUE,"MFGE8"
"388","cat5","LGALS3BP",TRUE,"LGALS3BP"
"389","cat5","CD5L",TRUE,"CD5L"
"390","cat5","AHSG",TRUE,"AHSG"
