"","Suggested.Symbol","U1","S1","U2","S2","U3","S3","U4","S4","U5","S5","U6","S6","U7","S7","U8","S8","U9","S9","U10","S10","U11","S11","name","ID"
"4545","SENP3",1106.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SENP3","Q9H4L4"
"4546","EHD1",44642,17085,63992,14330,101180,21711,116580,35130,78458,15322,43411,26690,97695,37647,110520,16177,354920,18324,31727,9471.9,NA,NA,"EHD1","Q9H4M9"
"4547","ALG2",54534,4368.2,13734,NA,23597,507.01,15890,2179.3,29674,NA,28056,NA,7816.7,NA,NA,596.79,NA,NA,1495.3,NA,293.39,256.08,"ALG2","Q9H553"
"4548","SLC32A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC32A1","Q9H598"
"4549","POMK",9450.3,NA,NA,NA,1239.5,NA,NA,NA,5473.6,NA,4305.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POMK","Q9H5K3"
"4550","RABEP2",NA,NA,NA,NA,NA,NA,NA,NA,839.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RABEP2","Q9H5N1"
"4551","CDCP1",NA,99.936,1233.5,NA,1227.3,NA,573.35,NA,16261,2379.2,1060.1,NA,2028.1,NA,4388,NA,11837,NA,112.91,NA,499.01,NA,"CDCP1","Q9H5V8"
"4552","IGFLR1",NA,NA,1553.9,NA,606.52,NA,563.73,NA,600.77,NA,1442.2,NA,NA,NA,NA,NA,3240,NA,NA,NA,NA,NA,"IGFLR1","Q9H665"
"4553","DENND2D",NA,NA,NA,NA,NA,NA,2221.5,NA,NA,NA,NA,NA,955.54,NA,4706.2,NA,19702,NA,586.65,NA,6271.7,NA,"DENND2D","Q9H6A0"
"4554","CCDC134",2127.5,406.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2376.2,NA,NA,"CCDC134","Q9H6E4"
