"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"871","GNA13",1,1,1,1,1,1,1,1,1,1,1
"877","GANAB",1,1,1,1,1,1,1,1,0,1,0
"878","RFTN1",1,1,1,1,1,1,1,1,1,1,1
"880","MVP",1,1,1,0,1,0,1,1,1,1,1
"890","SLC39A14",1,1,1,1,1,0,1,1,0,1,1
"896","PPA1",1,1,1,1,0,1,1,1,1,1,1
"899","RCN1",1,1,1,1,1,1,1,0,1,0,1
"909","SLC9A3R2",1,1,0,1,1,1,1,1,1,1,1
"915","SLC1A5",1,1,1,1,1,1,1,1,1,1,1
"916","STXBP2",1,1,1,1,1,1,1,1,1,1,1
"917","VAMP3",1,0,1,1,1,1,1,1,1,1,1
"920","RAB11B",1,1,1,1,1,0,1,1,1,1,1
"922","SEPTIN7",1,1,1,1,1,1,1,0,1,1,0
"925","PSMD5",1,1,1,1,1,1,1,1,0,1,0
"935","IMMT",1,1,1,1,1,1,1,0,0,1,1
"938","HLA-DRB5",1,1,1,1,1,1,1,1,1,1,1
"940","TKFC",1,1,1,1,1,1,1,1,0,0,1
"943","ANO6",1,1,1,1,1,1,1,1,1,1,1
"950","CYBRD1",1,1,1,1,1,1,1,1,0,1,1
"958","GNAS",1,1,1,1,1,1,1,1,1,1,1
"967","ANXA8L1",1,1,1,1,1,1,1,0,0,1,1
"971","CD276",1,1,1,1,1,1,1,1,1,1,0
"973","STEAP4",1,1,1,1,0,1,1,1,1,1,1
"974","ATL3",1,1,1,1,1,1,1,0,0,1,1
"987","MEAK7",1,1,1,1,1,1,1,1,0,0,1
"996","OLFM4",1,1,1,1,1,1,1,1,0,0,1
"999","CD109",1,1,1,1,1,1,1,0,1,1,1
"1007","CYFIP1",1,1,1,1,1,1,1,1,1,1,1
"1012","ZC3HAV1",1,1,1,1,1,1,1,1,1,1,1
"1023","FERMT3",1,1,0,1,1,1,1,1,1,1,1
"1035","SLC44A2",1,1,1,1,1,1,1,1,1,1,0
"1040","ABI1",1,1,1,1,1,1,1,1,1,1,1
"1064","CCNY",1,1,1,1,1,1,1,1,0,1,1
"1070","GPRC5A",1,1,1,1,1,1,1,0,1,1,1
"1073","LILRB1",1,1,1,1,1,1,1,1,1,1,0
"1084","PLEKHO2",1,1,1,1,1,1,1,1,1,1,1
"1086","EPS8L1",1,1,1,1,1,1,1,1,1,1,1
"1089","PDCD6IP",1,1,1,0,1,0,1,1,1,1,1
"1090","LRRN4",1,1,1,1,1,1,1,0,1,1,0
"1091","SLC44A1",1,1,1,1,1,1,1,1,1,0,1
"1095","SMPDL3B",1,1,1,1,1,1,1,1,1,1,1
"1100","NCSTN",1,1,1,1,1,1,1,1,0,1,1
"1103","NDRG1",1,1,1,1,1,1,1,0,1,1,1
"1104","MYO18A",1,1,1,1,1,1,1,0,1,0,1
"1108","NECTIN2",1,0,1,1,1,1,1,1,1,1,1
"1112","RAB8B",1,1,1,1,1,1,1,0,1,1,0
"1118","TMBIM1",1,0,1,1,1,1,1,0,1,1,1
"1123","FERMT2",1,1,1,1,1,1,1,1,1,1,0
"1127","AIDA",1,1,1,1,1,1,1,0,1,0,1
"1130","AP2M1",1,1,1,1,1,0,1,1,1,1,1
"1133","CYFIP2",1,1,1,1,1,1,1,0,1,1,1
"1134","CPNE2",1,1,0,1,1,1,1,1,1,1,1
"1135","S100A16",1,1,1,1,1,1,1,1,1,1,1
"1149","CNDP2",1,1,1,1,1,1,1,1,1,1,1
"1162","MYADM",1,1,1,1,1,1,1,1,1,1,1
"1165","NIBAN2",1,1,1,1,1,1,1,1,1,1,1
"1170","PARK7",1,1,1,1,1,1,1,1,1,1,1
"1172","VAT1",1,1,1,1,1,1,1,0,1,1,1
"1175","PHB2",1,1,1,1,1,1,1,0,0,1,1
"1176","CHP1",1,1,1,1,1,1,1,0,1,1,1
"1181","TSG101",1,0,0,1,1,1,1,1,1,1,1
"1183","CPNE1",1,1,1,1,0,1,1,1,1,1,1
"1193","ESYT1",1,1,1,1,1,1,1,1,0,1,1
"1198","TMEM43",1,1,1,1,1,1,1,0,0,1,1
"1200","PDCD10",1,1,1,1,1,1,1,1,0,0,1
"1203","VAMP8",1,1,1,1,1,1,1,1,1,1,1
"1204","TMED9",1,1,1,1,1,1,1,0,0,1,1
"1215","NIBAN1",1,1,1,0,1,1,1,1,1,1,1
"1219","SLC39A8",1,1,1,1,1,1,1,1,0,1,1
"1224","EHD4",1,1,1,1,1,0,1,1,1,1,0
"1228","TXNIP",1,1,1,1,1,0,1,1,1,1,1
"1230","DNAJC5",1,1,1,1,1,1,1,1,1,1,1
"1234","GLIPR2",1,1,1,1,1,0,1,1,1,1,1
"1235","EHD1",1,1,1,1,1,1,1,1,1,1,0
"1238","METTL7A",1,1,1,1,1,1,1,0,0,1,1
"1241","SLC28A3",1,1,1,1,1,1,1,0,0,1,1
"1249","TM9SF3",1,1,1,1,1,1,1,1,0,0,1
"1250","VTA1",1,1,1,1,1,0,1,1,1,1,1
"1252","GPRC5C",1,1,1,1,1,1,1,1,1,1,1
"1253","RTN4",1,1,1,1,1,0,1,1,1,1,1
"1254","SAR1A",1,1,1,1,1,0,1,1,1,0,1
"1256","OSTC",1,1,1,1,1,1,1,0,0,1,1
"1261","PLSCR3",1,1,1,1,1,1,1,1,1,1,1
"1266","LIN7C",1,1,1,1,0,1,1,1,1,1,1
"1268","CYRIB",1,1,1,1,1,1,1,1,1,1,1
"1281","UGGT1",1,1,1,1,1,1,1,1,0,0,1
"1285","CLIC5",1,1,1,1,1,1,1,1,1,1,1
"1287","GPRC5B",1,1,1,1,0,1,1,1,1,1,1
"1293","VAPA",1,1,1,1,1,1,1,1,0,1,1
"1297","PTGFRN",1,1,1,1,1,1,1,1,1,1,1
"1303","GNG12",1,1,1,1,1,1,1,1,1,1,0
"1323","PLXNA1",1,1,1,0,1,1,1,1,0,1,1
"1331","RAB21",1,1,1,1,1,1,1,1,0,0,1
"1333","PSME2",1,1,1,1,0,1,0,1,1,1,1
"1342","PROCR",1,1,1,1,0,1,1,0,1,1,1
"1344","BAIAP2",1,1,1,1,1,1,1,1,1,1,0
"1353","NCKAP1",1,1,1,1,1,1,1,1,1,1,1
"1356","EPB41L3",1,1,1,1,1,1,1,1,1,1,1
"1360","DERA",1,1,1,1,1,1,0,1,1,0,1
"1362","CAB39",1,1,1,1,1,1,1,1,1,1,1
"1370","RAP2C",1,1,1,1,0,0,1,1,1,1,1
"1379","F11R",1,1,1,1,1,1,1,1,1,1,1
"1381","NPTN",1,1,1,1,1,0,1,1,1,1,1
"1383","COPG1",1,1,1,1,1,1,1,1,0,0,1
"1384","CLIC4",1,1,1,0,0,1,1,1,1,1,1
"1385","EMILIN1",1,1,1,1,1,1,1,1,1,1,0
"1391","WASF2",1,1,1,1,1,0,1,1,1,0,1
"1484","PAFAH1B2",0,1,1,1,1,1,1,1,1,1,1
"1527","TSPAN14",0,1,1,1,1,1,1,1,1,1,1
"1556","GRHPR",0,1,1,1,1,1,1,1,0,1,1
"1671","RPS8",0,0,1,1,1,1,1,1,1,1,1
