"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"182","EGFR",1,1,1,1,1,1,1,1,1,1,1
"183","PGK1",1,1,0,0,0,1,0,0,0,1,0
"184","AK1",1,0,1,1,0,1,1,0,0,0,1
"185","F9",1,0,1,1,0,0,0,0,0,0,0
"186","PLAT",1,0,0,1,1,0,0,0,0,0,0
"187","CA1",1,1,0,0,1,1,1,0,0,1,0
"188","ASS1",1,0,0,1,1,0,1,0,0,0,1
"189","TIMP1",1,0,1,0,0,1,0,0,1,0,0
"190","CST3",1,0,0,0,0,1,0,0,0,0,0
"191","KRAS",1,1,1,1,1,1,1,1,1,1,1
"192","CD8A",1,0,0,0,0,1,0,0,0,0,1
"193","HLA-B",1,1,1,1,1,1,1,0,1,1,1
"194","HLA-H",1,0,0,1,1,1,1,1,0,1,1
"195","HLA-DQA2",1,0,0,1,0,0,0,0,1,0,1
"196","HLA-DQA1",1,1,1,0,0,0,0,0,1,0,0
"197","HLA-DRB1",1,0,0,1,1,0,1,0,1,0,1
"198","HBE1",1,0,0,0,0,0,0,0,0,1,0
"199","COL4A1",1,1,0,0,1,1,0,0,0,0,0
"200","CRYAB",1,1,1,1,0,1,1,0,0,0,0
"201","SPTA1",1,1,0,0,0,0,1,0,1,1,0
"202","MBP",1,0,0,0,0,0,0,0,0,0,0
"203","GYPA",1,1,1,1,1,1,1,1,0,1,1
"204","TFRC",1,1,1,1,1,0,1,0,1,1,1
"205","LTF",1,0,0,0,0,1,0,1,0,1,1
"206","CAT",1,0,0,0,1,0,1,0,0,1,0
"207","CSTB",1,1,1,1,1,1,1,1,0,1,0
"208","PRNP",1,0,1,1,0,0,0,0,0,1,1
"209","SOD2",1,1,1,1,1,1,1,0,0,0,0
"210","THY1",1,1,1,1,1,1,1,1,1,1,1
"211","CD74",1,1,1,1,1,1,1,0,1,1,1
"212","CAPNS1",1,1,1,1,1,0,1,0,0,0,1
"213","HSPB1",1,1,0,0,0,0,1,0,0,1,0
"214","CYBB",1,1,1,0,1,1,1,1,1,1,1
"215","RPN1",1,1,1,1,0,1,1,1,0,1,0
"216","RPN2",1,1,1,0,1,1,1,0,0,1,1
"217","GNAI2",1,1,1,0,1,1,1,1,1,1,0
"218","ATP1A1",1,1,1,1,1,1,1,0,1,1,0
"219","ATP1B1",1,1,1,1,1,1,1,1,0,1,1
"220","APP",1,0,0,0,0,0,0,0,0,0,1
"221","ARG1",1,0,0,0,0,1,0,0,0,0,0
"222","ALDH2",1,1,1,1,0,1,1,0,0,0,0
"223","ITGB3",1,1,1,1,1,0,0,0,0,0,1
"224","ITGB2",1,1,1,1,1,1,1,1,1,1,1
"225","SERPINE1",1,0,0,0,0,0,0,0,0,0,1
"226","ISG15",1,0,0,0,0,0,0,1,1,1,1
"227","MPO",1,1,0,0,1,0,1,0,1,1,0
"228","ALPL",1,1,0,1,1,0,1,0,0,1,1
"229","ALPP",1,0,0,0,1,0,1,1,1,0,1
"230","ICAM1",1,1,1,1,1,0,1,1,1,1,1
"231","RPLP1",1,0,0,0,1,1,0,0,0,1,1
"232","ITGB1",1,1,1,1,1,1,1,1,1,1,1
"233","PRKCB",1,1,0,1,1,1,1,0,0,0,1
