"","value","name","ID","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11","C1","C2","C3","C4","C5"
"196","HLA-DQA1","HLA-DQA1","P01909",1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"197","HLA-DRB1","HLA-DRB1","P01911",1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0
"198","HBE1","HBE1","P02100",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"199","COL4A1","COL4A1","P02462",1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1
"200","CRYAB","CRYAB","P02511",1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
"201","SPTA1","SPTA1","P02549",1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0
"202","MBP","MBP","P02686",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"203","GYPA","GYPA","P02724",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"204","TFRC","TFRC","P02786",1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
"205","LTF","LTF","P02788",1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0
"206","CAT","CAT","P04040",1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0
"207","CSTB","CSTB","P04080",1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
"208","PRNP","PRNP","P04156",1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0
"209","SOD2","SOD2","P04179",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"210","THY1","THY1","P04216",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"211","CD74","CD74","P04233",1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
"212","CAPNS1","CAPNS1","P04632",1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0
"213","HSPB1","HSPB1","P04792",1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0
"214","CYBB","CYBB","P04839",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
"215","RPN1","RPN1","P04843",1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1
"216","RPN2","RPN2","P04844",1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1
"217","GNAI2","GNAI2","P04899",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
"218","ATP1A1","ATP1A1","P05023",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"219","ATP1B1","ATP1B1","P05026",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"220","APP","APP","P05067",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"221","ARG1","ARG1","P05089",1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
"222","ALDH2","ALDH2","P05091",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"223","ITGB3","ITGB3","P05106",1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
"224","ITGB2","ITGB2","P05107",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"225","SERPINE1","SERPINE1","P05121",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"226","ISG15","ISG15","P05161",1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0
"227","MPO","MPO","P05164",1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0
"228","ALPL","ALPL","P05186",1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0
"229","ALPP","ALPP","P05187",1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0
"230","ICAM1","ICAM1","P05362",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
"231","RPLP1","RPLP1","P05386",1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0
"232","ITGB1","ITGB1","P05556",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"233","PRKCB","PRKCB","P05771",1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0
"234","MYL1","MYL1","P05976",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"235","HPN","HPN","P05981",1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"236","PTMA","PTMA","P06454",1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
"237","ATP5F1B","ATP5B","P06576",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"238","PYGL","PYGL","P06737",1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"239","TPM3","TPM3","P06753",1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0
"240","ITGAV","ITGAV","P06756",1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
"241","EPHX1","EPHX1","P07099",1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1
"242","P4HB","P4HB","P07237",1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1
"243","CTSD","CTSD","P07339",1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0
"244","CAPN1","CAPN1","P07384",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"245","DCN","DCN","P07585",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"246","PSAP","PSAP","P07602",1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
"247","PFN1","PFN1","P07737",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"248","APRT","APRT","P07741",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
"249","EPRS1","EPRS","P07814",1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0
"250","LAMB1","LAMB1","P07942",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"251","YES1","YES1","P07947",1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0
"252","LYN","LYN","P07948",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"253","ANXA6","ANXA6","P08133",1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1
"254","SLC3A2","SLC3A2","P08195",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"255","GUSB","GUSB","P08236",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"256","PFKM","PFKM","P08237",1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0
"257","ELANE","ELANE","P08246",1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0
"258","MMP2","MMP2","P08253",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"259","MME","MME","P08473",1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
"260","ITGA2B","ITGA2B","P08514",1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0
"261","PLEK","PLEK","P08567",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
"262","CYC1","CYC1","P08574",1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0
"263","PTPRC","PTPRC","P08575",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"264","MELTF","MFI2","P08582",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
"265","HCK","HCK","P08631",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"266","ITGA5","ITGA5","P08648",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"267","RPS17","RPS17","P08708",1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1
"268","GNAI3","GNAI3","P08754",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"269","ANXA5","ANXA5","P08758",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
