"","value","name","ID","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11","C1","C2","C3","C4","C5"
"821","AIMP2","AIMP2","Q13155",1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0
"822","PRDX4","PRDX4","Q13162",1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1
"823","CBX3","CBX3","Q13185",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"824","STX5","STX5","Q13190",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"825","PSMD2","PSMD2","Q13200",1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0
"826","MMRN1","MMRN1","Q13201",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"827","SELENBP1","SELENBP1","Q13228",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
"828","TRIM28","TRIM28","Q13263",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"829","STX3","STX3","Q13277",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
"830","KCNAB2","KCNAB2","Q13303",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"831","PTK7","PTK7","Q13308",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"832","PTPRS","PTPRS","Q13332",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"833","DYNC1I2","DYNC1I2","Q13409",1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0
"834","ILK","ILK","Q13418",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"835","NNT","NNT","Q13423",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"836","SNTB2","SNTB2","Q13425",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"837","SLC39A6","SLC39A6","Q13433",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"838","ADAM9","ADAM9","Q13443",1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
"839","TMED1","TMED1","Q13445",1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
"840","LSAMP","LSAMP","Q13449",1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
"841","TCIRG1","TCIRG1","Q13488",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"842","PICALM","PICALM","Q13492",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
"843","SQSTM1","SQSTM1","Q13501",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"844","ASAH1","ASAH1","Q13510",1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"845","CAMK2D","CAMK2D","Q13557",1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0
"846","DCTN2","DCTN2","Q13561",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"847","CUL3","CUL3","Q13618",1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0
"848","TPBG","TPBG","Q13641",1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0
"849","FHL1","FHL1","Q13642",1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0
"850","MOGS","MOGS","Q13724",1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"851","ALCAM","ALCAM","Q13740",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"852","LAMB3","LAMB3","Q13751",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"853","SPTAN1","SPTAN1","Q13813",1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0
"854","COTL1","COTL1","Q14019",1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0
"855","SCARB2","SCARB2","Q14108",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
"856","NID2","NID2","Q14112",1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0
"857","DPYS","DPYS","Q14117",1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
"858","EIF3A","EIF3A","Q14152",1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0
"859","ARHGEF7","ARHGEF7","Q14155",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"860","EFR3A","EFR3A","Q14156",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
"861","SCRIB","SCRIB","Q14160",1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
"862","MLEC","MLEC","Q14165",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
"863","FHL2","FHL2","Q14192",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"864","DYNC1H1","DYNC1H1","Q14204",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
"865","EIF4A2","EIF4A2","Q14240",1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0
"866","FLOT2","FLOT2","Q14254",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"867","RCN2","RCN2","Q14257",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"868","FGL2","FGL2","Q14314",1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
"869","FLNC","FLNC","Q14315",1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0
"870","FKBP8","FKBP8","Q14318",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"871","GNA13","GNA13","Q14344",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"872","PDIA5","PDIA5","Q14554",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"873","ITPR2","ITPR2","Q14571",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"874","ITPR3","ITPR3","Q14573",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"875","CLINT1","CLINT1","Q14677",1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
"876","MESD","MESDC2","Q14696",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"877","GANAB","GANAB","Q14697",1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
"878","RFTN1","RFTN1","Q14699",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"879","MFSD10","MFSD10","Q14728",1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0
"880","MVP","MVP","Q14764",1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1
"881","GOLGB1","GOLGB1","Q14789",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"882","LASP1","LASP1","Q14847",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
"883","KPNB1","KPNB1","Q14974",1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0
"884","NUMA1","NUMA1","Q14980",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"885","GAPVD1","GAPVD1","Q14C86",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"886","SPCS2","SPCS2","Q15005",1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1
"887","SEPTIN2","SEPT2","Q15019",1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0
"888","SNX17","SNX17","Q15036",1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0
"889","ARL6IP1","ARL6IP1","Q15041",1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1
"890","SLC39A14","SLC39A14","Q15043",1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0
"891","KARS1","KARS","Q15046",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"892","PDIA6","PDIA6","Q15084",1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1
"893","EBP","EBP","Q15125",1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1
"894","NOMO1","NOMO1","Q15155",1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1
"895","PON2","PON2","Q15165",1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1
"896","PPA1","PPA1","Q15181",1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
"897","PTGES3","PTGES3","Q15185",1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0
"898","RAB35","RAB35","Q15286",1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0
"899","RCN1","RCN1","Q15293",1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1
"900","TMED2","TMED2","Q15363",1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1
"901","PCBP1","PCBP1","Q15365",1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0
"902","ELOB","TCEB2","Q15370",1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0
"903","DHCR24","DHCR24","Q15392",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"904","SF3B3","SF3B3","Q15393",1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1
"905","CNN3","CNN3","Q15417",1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
"906","RPS6KA1","RPS6KA1","Q15418",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"907","SEC23A","SEC23A","Q15436",1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0
"908","SEC23B","SEC23B","Q15437",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"909","SLC9A3R2","SLC9A3R2","Q15599",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
"910","TRAM1","TRAM1","Q15629",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"911","TSN","TSN","Q15631",1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
"912","TRIP10","TRIP10","Q15642",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"913","MAPRE1","MAPRE1","Q15691",1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0
"914","NSDHL","NSDHL","Q15738",1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
"915","SLC1A5","SLC1A5","Q15758",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"916","STXBP2","STXBP2","Q15833",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"917","VAMP3","VAMP3","Q15836",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"918","NEDD8","NEDD8","Q15843",1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
"919","ATP6AP1","ATP6AP1","Q15904",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"920","RAB11B","RAB11B","Q15907",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"921","ZYX","ZYX","Q15942",1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"922","SEPTIN7","SEPT7","Q16181",1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
"923","UAP1","UAP1","Q16222",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"924","LAMA4","LAMA4","Q16363",1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
"925","PSMD5","PSMD5","Q16401",1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
"926","SYPL1","SYPL1","Q16563",1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0
"927","DBN1","DBN1","Q16643",1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0
"928","PTGIS","PTGIS","Q16647",1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
"929","FSCN1","FSCN1","Q16658",1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
"930","MAN2A1","MAN2A1","Q16706",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"931","NDUFA9","NDUFA9","Q16795",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"932","UGP2","UGP2","Q16851",1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
"933","AOC3","AOC3","Q16853",1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
"934","TXNRD1","TXNRD1","Q16881",1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0
"935","IMMT","IMMT","Q16891",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
"936","C5orf64","C5orf64","Q2M2E5",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"937","WASHC4","KIAA1033","Q2M389",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"938","HLA-DRB5","HLA-DRB5","Q30154",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
"939","P3H1","LEPRE1","Q32P28",1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
"940","TKFC","DAK","Q3LXA3",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
"941","TIMM50","TIMM50","Q3ZCQ8",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"942","TBC1D10B","TBC1D10B","Q4KMP7",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"943","ANO6","ANO6","Q4KMQ2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"944","RFTN2","RFTN2","Q52LD8",1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
"945","PDCD4","PDCD4","Q53EL6",1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
"946","SLC44A4","SLC44A4","Q53GD3",1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0
"947","HSD17B12","HSD17B12","Q53GQ0",1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1
"948","AGK","AGK","Q53H12",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"949","RAB6C","RAB6C","Q53S08",1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
"950","CYBRD1","CYBRD1","Q53TN4",1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
"951","WDR81","WDR81","Q562E7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952","C5orf47","C5orf47","Q569G3",1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
"953","HSP90AB2P","HSP90AB2P","Q58FF8",1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
"954","TMEM97","TMEM97","Q5BJF2",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"955","MEST","MEST","Q5EB52",1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"956","CRB2","CRB2","Q5IJ48",1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0
"957","MIA3","MIA3","Q5JRA6",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"958","GNAS","GNAS","Q5JWF2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"959","SLC27A3","SLC27A3","Q5K4L6",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"960","COLEC12","COLEC12","Q5KU26",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"961","ODR4","ODR4","Q5SWX8",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"962","FKBP15","FKBP15","Q5T1M5",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"963","MPP7","MPP7","Q5T2T1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"964","UBR4","UBR4","Q5T4S7",1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
"965","WLS","WLS","Q5T9L3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"966","H3-7","HIST2H3PS2","Q5TEC6",1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1
"967","ANXA8L1","ANXA8L2","Q5VT79",1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0
"968","IRAK1BP1","IRAK1BP1","Q5VVH5",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"969","BROX","BROX","Q5VW32",1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0
"970","CARMIL1","LRRC16A","Q5VZK9",1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
"971","CD276","CD276","Q5ZPR3",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
"972","STEAP3","STEAP3","Q658P3",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"973","STEAP4","STEAP4","Q687X5",1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0
"974","ATL3","ATL3","Q6DD88",1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
"975","LAMTOR1","LAMTOR1","Q6IAA8",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"976","TWF2","TWF2","Q6IBS0",1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0
"977","RHBDD2","RHBDD2","Q6NTF9",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"978","SLC25A24","SLC25A24","Q6NUK1",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"979","RETSAT","RETSAT","Q6NUM9",1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"980","CAVIN1","PTRF","Q6NZI2",1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0
"981","LPCAT3","LPCAT3","Q6P1A2",1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0
"982","SLC27A4","SLC27A4","Q6P1M0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"983","EDC4","EDC4","Q6P2E9",1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"984","PRPF8","PRPF8","Q6P2Q9",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"985","PLBD1","PLBD1","Q6P4A8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"986","CNNM4","CNNM4","Q6P4Q7",1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
"987","MEAK7","TLDC1","Q6P9B6",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
"988","SLC27A1","SLC27A1","Q6PCB7",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"989","NCEH1","NCEH1","Q6PIU2",1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1
"990","AGTRAP","AGTRAP","Q6RW13",1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0
"991","SARM1","SARM1","Q6SZW1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"992","CYP20A1","CYP20A1","Q6UW02",1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
"993","TMEM205","TMEM205","Q6UW68",1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"994","C16orf54","C16orf54","Q6UWD8",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"995","SBSN","SBSN","Q6UWP8",1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0
"996","OLFM4","OLFM4","Q6UX06",1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
"997","SEZ6L2","SEZ6L2","Q6UXD5",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"998","HACD2","HACD2","Q6Y1H2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"999","CD109","CD109","Q6YHK3",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
"1000","RIPOR1","FAM65A","Q6ZS17",1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0
"1001","TMPPE","TMPPE","Q6ZT21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1002","LHFPL2","LHFPL2","Q6ZUX7",1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0
"1003","VPS13C","VPS13C","Q709C8",1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
"1004","IKBIP","IKBIP","Q70UQ0",1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"1005","H3C15","HIST2H3A","Q71DI3",1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1
"1006","SND1","SND1","Q7KZF4",1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0
"1007","CYFIP1","CYFIP1","Q7L576",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1008","LPCAT2","LPCAT2","Q7L5N7",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"1009","MOB1B","MOB1B","Q7L9L4",1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
"1010","HS2ST1","HS2ST1","Q7LGA3",1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0
"1011","ERMP1","ERMP1","Q7Z2K6",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"1012","ZC3HAV1","ZC3HAV1","Q7Z2W4",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"1013","MYH14","MYH14","Q7Z406",1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"1014","CLASP1","CLASP1","Q7Z460",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1015","GOLGA7","GOLGA7","Q7Z5G4",1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0
"1016","APBB1IP","APBB1IP","Q7Z5R6",1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"1017","HUWE1","HUWE1","Q7Z6Z7",1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1
"1018","TMED4","TMED4","Q7Z7H5",1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
"1019","GALNT7","GALNT7","Q86SF2",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1020","SYVN1","SYVN1","Q86TM6",1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"1021","MTDH","MTDH","Q86UE4",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1022","KTN1","KTN1","Q86UP2",1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"1023","FERMT3","FERMT3","Q86UX7",1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
"1024","CAND1","CAND1","Q86VP6",1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0
"1025","RETREG3","FAM134C","Q86VR2",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1026","THOC6","THOC6","Q86W42",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1027","PKHD1L1","PKHD1L1","Q86WI1",1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"1028","STING1","TMEM173","Q86WV6",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"1029","LSR","LSR","Q86X29",1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0
"1030","STX12","STX12","Q86Y82",1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
"1031","C2CD5","C2CD5","Q86YS7",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"1032","RHPN2","RHPN2","Q8IUC4",1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
"1033","ERC1","ERC1","Q8IUD2",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"1034","MFN1","MFN1","Q8IWA4",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1035","SLC44A2","SLC44A2","Q8IWA5",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"1036","DNAJC10","DNAJC10","Q8IXB1",1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
"1037","KIAA2013","KIAA2013","Q8IYS2",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1038","ALDH16A1","ALDH16A1","Q8IZ83",1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0
"1039","PELP1","PELP1","Q8IZL8",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"1040","ABI1","ABI1","Q8IZP0",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"1041","ADGRG2","GPR64","Q8IZP9",1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0
"1042","VKORC1L1","VKORC1L1","Q8N0U8",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"1043","ORMDL3","ORMDL3","Q8N138",1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0
"1044","CCAR2","CCAR2","Q8N163",1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"1045","SYS1","SYS1","Q8N2H4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1046","ABHD12","ABHD12","Q8N2K0",1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"1047","SLC43A2","SLC43A2","Q8N370",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1048","PLCD3","PLCD3","Q8N3E9",1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
"1049","PALS1","MPP5","Q8N3R9",1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
"1050","LILRB2","LILRB2","Q8N423",1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"1051","ARRDC1","ARRDC1","Q8N5I2",1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0
"1052","CISD2","CISD2","Q8N5K1",1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0
"1053","JAGN1","JAGN1","Q8N5M9",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1054","EMC1","EMC1","Q8N766",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1055","ENAH","ENAH","Q8N8S7",1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
"1056","COLGALT1","COLGALT1","Q8NBJ5",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"1057","SUMF2","SUMF2","Q8NBJ7",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"1058","POGLUT1","POGLUT1","Q8NBL1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1059","TMEM87A","TMEM87A","Q8NBN3",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1060","HSD17B11","HSD17B11","Q8NBQ5",1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0
"1061","TXNDC5","TXNDC5","Q8NBS9",1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1
"1062","SCCPDH","SCCPDH","Q8NBX0",1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1
"1063","DAGLB","DAGLB","Q8NCG7",1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
"1064","CCNY","CCNY","Q8ND76",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"1065","MAPK1IP1L","MAPK1IP1L","Q8NDC0",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"1066","NPEPL1","NPEPL1","Q8NDH3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1067","DIPK2A","C3orf58","Q8NDZ4",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1068","SLC30A7","SLC30A7","Q8NEW0",1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0
"1069","LPCAT1","LPCAT1","Q8NF37",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"1070","GPRC5A","GPRC5A","Q8NFJ5",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
"1071","TOR1AIP2","TOR1AIP2","Q8NFQ8",1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
"1072","ATL2","ATL2","Q8NHH9",1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"1073","LILRB1","LILRB1","Q8NHL6",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"1074","THOC2","THOC2","Q8NI27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1075","PATJ","INADL","Q8NI35",1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
"1076","VANGL1","VANGL1","Q8TAA9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1077","C12orf75","OCC1","Q8TAD7",1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0
"1078","SLC35B2","SLC35B2","Q8TB61",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
