"","Suggested.Symbol","name","ID","C1","C2","C3","C4","C5"
"1787","RDX","RDX","P35241",1159900,280800,5016300,21870000,37504
"1788","RPA3","RPA3","P35244",0,0,0,0,0
"1789","RFC4","RFC4","P35249",0,0,0,0,0
"1790","RPL22","RPL22","P35268",0,0,28648,0,0
"1791","SPR","SPR","P35270",0,0,0,242860,0
"1792","HRH1","HRH1","P35367",0,0,0,0,0
"1793","THBS2","THBS2","P35442",0,0,0,0,0
"1794","THBS4","THBS4","P35443",436890,0,121350,0,77520
"1795","SAA4","SAA4","P35542",356770,0,250630,68130,712980
"1796","FBN1","FBN1","P35555",1654.7,0,0,0,0
"1797","AGL","AGL","P35573",0,0,0,0,0
"1798","MYH9","MYH9","P35579",9280300,69632,6369100,12512000,14048
"1799","MYH10","MYH10","P35580",254600,0,1290800,5388100,6210
"1800","COPB2","COPB2","P35606",262420,0,340190,12857,0
"1801","ACTN2","ACTN2","P35609",0,0,0,224330,0
"1802","SOAT1","SOAT1","P35610",31820,0,140750,0,47707
"1803","ADD1","ADD1","P35611",0,0,0,59649,0
"1804","ADD2","ADD2","P35612",0,0,0,0,0
"1805","BSG","BSG","P35613",4963100,1503300,6800400,323090,136690
"1806","FUS","FUS","P35637",0,0,0,0,0
"1807","NUP214","NUP214","P35658",0,0,0,0,0
"1808","DEK","DEK","P35659",0,0,0,0,0
"1809","ATP7B","ATP7B","P35670",0,0,0,14355,0
"1810","MYH11","MYH11","P35749",0,0,0,0,0
"1811","GLRX","GLRX","P35754",0,0,0,0,0
"1812","PPM1A","PPM1A","P35813",0,0,0,0,0
"1813","IGFALS","IGFALS","P35858",2110600,0,1068400,405650,1913300
"1814","HMGCL","HMGCL","P35914",0,0,0,0,0
"1815","KDR","KDR","P35968",0,0,0,0,0
"1816","PSMC2","PSMC2","P35998",79358,0,42822,0,0
"1817","SLC16A2","SLC16A2","P36021",0,0,0,0,0
"1818","CHI3L1","CHI3L1","P36222",0,0,0,0,0
"1819","GGT5","GGT5","P36269",27199,162640,0,3356500,0
"1820","ARL3","ARL3","P36405",21739,33883,109750,353630,0
"1821","TRIM23","TRIM23","P36406",103000,56661,199660,0,0
"1822","MAP2K2","MAP2K2","P36507",25137,0,23170,115530,0
"1823","ATP5F1C","ATP5C1","P36542",0,0,0,0,0
"1824","ATP6V1E1","ATP6V1E1","P36543",43586,0,86710,369280,0
"1825","CPOX","CPOX","P36551",0,0,0,0,0
"1826","RPL4","RPL4","P36578",657880,0,457100,0,77610
"1827","LONP1","LONP1","P36776",0,0,0,0,0
"1828","PGM1","PGM1","P36871",506010,0,881980,351350,0
"1829","PPP1CC","PPP1CC","P36873",0,0,0,441840,0
"1830","FLT3","FLT3","P36888",53712,0,0,0,40430
"1831","BMPR1A","BMPR1A","P36894",0,0,0,0,0
"1832","TGFBR1","TGFBR1","P36897",120530,0,53045,0,0
"1833","GNL1","GNL1","P36915",4656.6,0,0,16430,0
"1834","LTBR","LTBR","P36941",0,0,0,0,0
"1835","SERPINB5","SERPINB5","P36952",0,0,0,0,0
"1836","SERPINF1","SERPINF1","P36955",814620,0,743180,0,1153400
"1837","DLST","DLST","P36957",43765,0,0,0,0
"1838","GMPR","GMPR","P36959",8743.6,0,12644,53440,0
"1839","GPX4","GPX4","P36969",66995,109430,209870,228710,0
"1840","CFHR2","CFHR2","P36980",0,0,0,0,0
"1841","ACVRL1","ACVRL1","P37023",0,0,0,0,0
"1842","HSD17B2","HSD17B2","P37059",0,0,0,0,0
"1843","SRP14","SRP14","P37108",26954,0,0,0,0
"1844","TGFBR2","TGFBR2","P37173",0,0,0,0,0
"1845","HPCAL1","HPCAL1","P37235",0,0,0,81027,0
"1846","FDFT1","FDFT1","P37268",205800,0,1692100,0,40919
"1847","TAGLN2","TAGLN2","P37802",108310,139190,191660,12097000,29115
"1848","TALDO1","TALDO1","P37837",0,0,20473,0,0
"1849","SNCA","SNCA","P37840",81295,0,0,0,0
"1850","ETFB","ETFB","P38117",0,0,0,0,0
"1851","RBMX","RBMX","P38159",0,0,0,0,0
"1852","ITGAE","ITGAE","P38570",0,0,0,0,0
"1853","LIPA","LIPA","P38571",0,0,0,0,0
"1854","ATP6V1A","ATP6V1A","P38606",228960,0,558520,395850,0
"1855","HSPA9","HSPA9","P38646",12226,0,35054,0,0
"1856","EIF4A3","EIF4A3","P38919",0,0,0,0,0
"1857","RPS19","RPS19","P39019",48066,0,27263,0,0
"1858","RPL3","RPL3","P39023",644360,0,476440,0,10388
"1859","COL15A1","COL15A1","P39059",535700,0,204490,0,411550
"1860","COL18A1","COL18A1","P39060",25620,153990,0,265130,0
"1861","MPV17","MPV17","P39210",0,0,0,0,0
"1862","DDOST","DDOST","P39656",133410,0,562010,0,40323
"1863","ANP32A","ANP32A","P39687",0,0,0,0,0
"1864","CUX1","CUX1","P39880",0,0,147650,0,0
"1865","MMP12","MMP12","P39900",0,0,0,0,0
"1866","CAPG","CAPG","P40121",0,23720,0,0,0
"1867","CAP2","CAP2","P40123",0,0,0,0,0
"1868","ADCY8","ADCY8","P40145",0,0,0,4677.7,0
"1869","IL6ST","IL6ST","P40189",586250,0,832680,110070,0
"1870","CEACAM6","CEACAM6","P40199",0,0,0,0,0
"1871","TXLNA","TXLNA","P40222",0,0,0,0,0
"1872","CCT6A","CCT6A","P40227",735510,0,839390,209420,0
"1873","NNMT","NNMT","P40261",0,0,0,264280,0
"1874","IFI27","IFI27","P40305",0,0,0,0,0
"1875","PSMB10","PSMB10","P40306",15973,0,22278,0,0
"1876","RPL13A","RPL13A","P40429",146530,0,137680,0,0
"1877","ARL1","ARL1","P40616",0,0,0,0,0
"1878","STAT3","STAT3","P40763",49650,0,104930,971190,0
"1879","MDH1","MDH1","P40925",238760,347980,786530,2867800,0
"1880","MDH2","MDH2","P40926",30680,0,114160,0,0
"1881","RFC5","RFC5","P40937",0,0,0,0,0
"1882","RFC3","RFC3","P40938",0,0,0,0,0
"1883","HADHA","HADHA","P40939",10904,0,0,0,0
