"","Suggested.Symbol","ID","cut_sec","p.value_sec","HR_sec","LCL_sec","UCL_sec","adj.p.val_sec","cut_uc","p.value_uc","HR_uc","LCL_uc","UCL_uc","adj.p.val_uc"
"32","FCGR1A","P12314",136710,0.000437578021208251,4401124859.64859,0,Inf,0.0409613590844017,3659150,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"33","FCGR2A","P12318",20725,0.0759235892030976,4.45009384333427,0.734213023717575,26.9721927761652,0.248333406351798,3095950,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"34","NCAM1","P13591",17428.5,0.742325646578294,1.43286256682165,0.165970995226533,12.3702043998499,0.79282398988294,15070.5,0.0545649531439122,0.17748023753696,0.0244887774763273,1.286272242321,0.0696479483219042
"35","HLA-E","P13747",163400,0.59928878038224,0.652664395983267,0.131437808555187,3.24085450348444,0.676894521726703,30898.5,0.0123121855306393,0.0908599862174516,0.00904941762696203,0.912272749004176,0.0225585885266861
"36","HCLS1","P14317",61105.5,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,209475,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"37","PLA2G2A","P14555",2433.75,0.0015654022580025,1319164194.53797,0,Inf,0.0409613590844017,49080.5,0.105935587267976,3.10579573751081,0.732555478268773,13.1675585662622,0.122293288243178
"38","COX6B1","P14854",22347.5,0.204367724657522,0.278132222306579,0.0339372187570603,2.27943054611989,0.337744555486641,66508.5,0.0290683731151669,0.189847547277591,0.0367959469918392,0.979512532054434,0.0434641388483923
"39","NQO1","P15559",10141.5,0.081375216556076,0.182337276037248,0.0219047793075829,1.5177912439033,0.250508019594195,990.45,0.0515052673683015,0.105409255338903,0.00658688925025256,1.68685257774388,0.0679523275363306
"40","ITGB4","P16144",105037,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,3107.6,0.121188452036133,0.26464399020063,0.0435765573125855,1.60720455833448,0.135904192640521
"41","PDGFRA","P16234",23935.5,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,652670,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"42","RHCE","P18577",571660,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,299650,0.0210999120826125,0.113194662687331,0.0129380688199376,0.990335716962165,0.0334614767370724
"43","CD33","P20138",23867,0.0515052673683016,9.48683298050904,0.592820032523218,151.816731997074,0.180891765684357,294935,0.0015654022580025,1319164194.53797,0,Inf,0.00396400249203887
"44","PTMS","P20962",3520.2,0.0545649531439122,5.63443014207006,0.777440394885269,40.835031514606,0.186232557469439,20912,0.310091609384315,1.96381374642455,0.521083039924537,7.40105536960967,0.314092791440887
"45","ATP6V1C1","P21283",14713.2,0.353128922948805,2.79621428287191,0.289766444834726,26.9831599038201,0.461819313041442,44539.5,0.162576042999443,0.378972937026855,0.092429862974472,1.55383208821187,0.173477769579277
"46","GPD1","P21695",70955,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,3407.3,0.0982732426779862,0.218461865234875,0.0302721785339371,1.57654945475421,0.114288141484769
"47","MSR1","P21757",25204.5,0.167385252664291,3.84994549626084e-09,0,Inf,0.317311202634681,125236,0.0182363914432867,0.0940376255929455,0.00830973692290878,1.06418230916311,0.0295166335731548
"48","CDH3","P22223",5193,0.557371449346266,1.61396097488418,0.321364089584636,8.10566616766638,0.667994790437891,52781.5,0.300077226507683,0.434100538653932,0.0861868592844061,2.18645022250775,0.305922886764326
"49","SCP2","P22307",63006.5,0.270249811112287,0.326614828418171,0.0403492728775795,2.64384556485793,0.375479826058664,27692.5,0.000352012888524378,2.00063690029377e-10,0,Inf,0.00396400249203887
